,y,x,osmid,highway,ref,geometry
4598834586,1.4030163,103.8968148,4598834586,,,POINT (103.8968148 1.4030163)
4697965979,1.3932211,103.9135578,4697965979,,,POINT (103.9135578 1.3932211)
1913644442,1.3817543,103.9034783,1913644442,traffic_signals,,POINT (103.9034783 1.3817543)
1913644444,1.3818808,103.9037973,1913644444,,,POINT (103.9037973 1.3818808)
3049055644,1.4061157,103.9061678,3049055644,,,POINT (103.9061678 1.4061157)
3049055645,1.4063591,103.9062979,3049055645,,,POINT (103.9062979 1.4063591)
369141151,1.3916394,103.8930157,369141151,,,POINT (103.8930157 1.3916394)
1913644453,1.3823406,103.9041426,1913644453,,,POINT (103.9041426 1.3823406)
6089860518,1.3849154,103.9200366,6089860518,motorway_junction,,POINT (103.9200366 1.3849154)
1913644458,1.3831595,103.9042345,1913644458,,,POINT (103.9042345 1.3831595)
5256422828,1.4007581,103.9029166,5256422828,,,POINT (103.9029166 1.4007581)
5898659244,1.3854526,103.8976836,5898659244,,,POINT (103.8976836 1.3854526)
5898659249,1.3857642,103.8981043,5898659249,,,POINT (103.8981043 1.3857642)
1913644466,1.3846305,103.9052238,1913644466,,,POINT (103.9052238 1.3846305)
1913644467,1.384934,103.9055962,1913644467,,,POINT (103.9055962 1.384934)
5256422836,1.4005261,103.9014513,5256422836,,,POINT (103.9014513 1.4005261)
5256422835,1.4004323,103.9016077,5256422835,,,POINT (103.9016077 1.4004323)
1913644475,1.3857418,103.9073366,1913644475,,,POINT (103.9073366 1.3857418)
3058361788,1.4207642,103.9112728,3058361788,,,POINT (103.9112728 1.4207642)
5898659260,1.3868941,103.899892,5898659260,traffic_signals,,POINT (103.899892 1.3868941)
5898659261,1.3869149,103.8998397,5898659261,traffic_signals,,POINT (103.8998397 1.3869149)
5898659263,1.386837,103.8998153,5898659263,traffic_signals,,POINT (103.8998153 1.386837)
5898659264,1.3854827,103.8976338,5898659264,,,POINT (103.8976338 1.3854827)
5243487700,1.3826487,103.8950359,5243487700,,,POINT (103.8950359 1.3826487)
369149397,1.3917131,103.8866411,369149397,traffic_signals,,POINT (103.8866411 1.3917131)
1913644502,1.3962813,103.8834161,1913644502,,,POINT (103.8834161 1.3962813)
5243487702,1.3836882,103.8936429,5243487702,,,POINT (103.8936429 1.3836882)
5243487701,1.382659,103.8948891,5243487701,,,POINT (103.8948891 1.382659)
370746847,1.3927903,103.8904953,370746847,,,POINT (103.8904953 1.3927903)
135079396,1.3996777,103.8967884,135079396,,,POINT (103.8967884 1.3996777)
1913644517,1.3966631,103.8827027,1913644517,,,POINT (103.8827027 1.3966631)
1913644518,1.3967022,103.8830536,1913644518,,,POINT (103.8830536 1.3967022)
3063326188,1.3953684,103.8992134,3063326188,,,POINT (103.8992134 1.3953684)
369149421,1.3897401,103.8854406,369149421,traffic_signals,,POINT (103.8854406 1.3897401)
6054290931,1.4065218,103.9135569,6054290931,,,POINT (103.9135569 1.4065218)
6054290932,1.4077418,103.9146164,6054290932,,,POINT (103.9146164 1.4077418)
4971478224,1.3960928,103.8810016,4971478224,,,POINT (103.8810016 1.3960928)
7085655548,1.4187138,103.9042031,7085655548,,,POINT (103.9042031 1.4187138)
